stcotrbg,adj_acs_1,sp_1,diff_1,w_diff_1,adj_acs_2,sp_2,diff_2,w_diff_2,adj_acs_3,sp_3,diff_3,w_diff_3,adj_acs_4,sp_4,diff_4,w_diff_4,adj_acs_5,sp_5,diff_5,w_diff_5,adj_acs_6,sp_6,diff_6,w_diff_6,adj_acs_7,sp_7,diff_7,w_diff_7
"420034838001",0,0,0,0.00,64,65,1,0.20,24,32,8,0.61,74,58,16,3.78,59,59,0,0.00,60,63,3,0.58,32,36,4,0.41
"420034838002",41,34,7,0.39,128,123,5,0.87,79,75,4,0.43,142,157,15,2.89,83,73,10,1.13,86,82,4,0.47,177,192,15,3.61
"420034838003",0,0,0,0.00,132,135,3,0.91,48,47,1,0.11,113,119,6,1.56,75,69,6,1.03,13,16,3,0.09,55,50,5,0.63
"420034843001",8,5,3,0.03,205,208,3,0.80,121,113,8,1.25,146,124,22,4.16,153,161,8,1.59,71,88,17,1.56,68,73,5,0.44
"420034843002",0,0,0,0.00,12,17,5,0.23,41,50,9,1.41,69,63,6,1.58,78,74,4,1.19,28,20,8,0.85,34,38,4,0.52
"420034843003",3,3,0,0.00,65,86,21,2.66,118,110,8,1.84,106,106,0,0.00,77,73,4,0.60,45,34,11,0.96,100,102,2,0.39
"420034845001",0,0,0,0.00,50,49,1,0.07,144,174,30,5.71,181,168,13,3.11,150,146,4,0.79,105,105,0,0.00,126,114,12,2.00
"420034845002",15,17,2,0.06,17,13,4,0.13,39,43,4,0.31,60,51,9,1.06,119,121,2,0.47,35,38,3,0.21,223,225,2,0.88
"420034845003",70,73,3,0.41,59,54,5,0.58,47,53,6,0.56,84,81,3,0.50,109,108,1,0.21,22,27,5,0.22,117,112,5,1.15
"420034845004",14,11,3,0.05,37,52,15,0.63,148,133,15,2.50,243,274,31,8.49,186,181,5,1.05,106,96,10,1.20,153,140,13,2.24
"420034846001",34,36,2,0.28,41,35,6,1.00,33,35,2,0.27,37,42,5,0.76,56,51,5,1.14,10,14,4,0.16,34,32,2,0.28
"420034846002",0,0,0,0.00,13,7,6,0.21,76,78,2,0.40,52,46,6,0.82,107,117,10,2.82,89,81,8,1.88,42,50,8,0.89
"420034846003",18,18,0,0.00,65,63,2,0.32,25,25,0,0.00,89,98,9,1.95,61,66,5,0.74,52,41,11,1.39,101,100,1,0.25
"420034850001",5,7,2,0.02,57,53,4,0.42,101,109,8,1.49,154,154,0,0.00,85,67,18,2.82,74,80,6,0.82,66,72,6,0.73
"420034867001",189,200,11,2.69,181,200,19,4.45,67,48,19,1.65,112,111,1,0.14,74,67,7,0.67,61,55,6,0.47,89,92,3,0.35
"420034867002",0,0,0,0.00,28,28,0,0.00,53,50,3,0.41,100,111,11,2.85,91,94,3,0.71,75,80,5,0.97,39,23,16,1.62
"420034868001",0,0,0,0.00,43,29,14,1.70,10,11,1,0.03,126,131,5,1.78,61,63,2,0.34,22,15,7,0.44,92,105,13,3.38
"420034868002",0,0,0,0.00,0,0,0,0.00,118,130,12,3.56,129,128,1,0.32,57,50,7,1.00,52,57,5,0.65,42,33,9,0.95
"420034869001",0,0,0,0.00,55,42,13,2.25,30,31,1,0.09,57,53,4,0.72,71,75,4,0.89,12,14,2,0.08,93,103,10,2.92
"420034869002",0,0,0,0.00,48,49,1,0.25,16,10,6,0.51,48,56,8,2.02,30,27,3,0.47,25,26,1,0.13,23,22,1,0.12
"420034869003",0,0,0,0.00,0,0,0,0.00,28,22,6,2.27,11,11,0,0.00,25,24,1,0.34,0,0,0,0.00,10,17,7,0.95
"420034870001",12,13,1,0.03,29,28,1,0.08,32,31,1,0.09,48,50,2,0.27,136,128,8,3.07,48,59,11,1.49,49,45,4,0.55
"420034870002",27,20,7,0.35,100,101,1,0.19,81,89,8,1.20,81,90,9,1.36,110,96,14,2.86,32,33,1,0.06,107,109,2,0.40
"420034881001",0,0,0,0.00,47,49,2,0.21,45,33,12,1.19,143,167,24,7.59,87,75,12,2.31,48,45,3,0.32,82,83,1,0.18
"420034881002",0,0,0,0.00,92,101,9,1.62,62,54,8,0.97,114,123,9,2.00,53,48,5,0.52,58,55,3,0.34,133,131,2,0.52
"420034882001",104,87,17,2.29,150,145,5,0.97,125,141,16,2.59,113,122,9,1.32,111,106,5,0.72,79,91,12,1.23,91,81,10,1.18
"420034882002",0,0,0,0.00,27,31,4,0.37,68,64,4,0.94,120,109,11,4.57,42,49,7,1.02,10,13,3,0.10,22,23,1,0.08
"420034882003",5,5,0,0.00,75,63,12,2.28,57,52,5,0.72,67,67,0,0.00,11,10,1,0.03,71,78,7,1.26,109,120,11,3.04
"420034883001",0,0,0,0.00,57,58,1,0.06,127,126,1,0.14,290,295,5,1.56,151,142,9,1.46,199,198,1,0.21,108,113,5,0.58
"420034884001",0,0,0,0.00,64,63,1,0.12,91,93,2,0.34,173,180,7,2.25,99,100,1,0.18,68,56,12,1.52,43,46,3,0.24
"420034884002",20,17,3,0.13,35,31,4,0.31,48,38,10,1.06,87,107,20,3.83,111,105,6,1.47,73,72,1,0.16,80,84,4,0.70
"420034884003",0,0,0,0.00,33,28,5,0.59,57,67,10,2.02,63,64,1,0.22,61,55,6,1.30,18,13,5,0.32,50,55,5,0.89
"420034884004",34,38,4,0.17,67,59,8,0.68,126,128,2,0.32,171,168,3,0.65,116,105,11,1.63,66,68,2,0.17,204,218,14,3.64
"420034885001",0,0,0,0.00,11,13,2,0.06,74,79,5,1.00,58,54,4,0.63,93,109,16,4.03,45,40,5,0.61,88,74,14,3.34
"420034885002",39,29,10,0.64,101,100,1,0.17,103,98,5,0.84,124,130,6,1.22,110,110,0,0.00,53,51,2,0.17,80,92,12,1.57
"420034885003",0,0,0,0.00,50,49,1,0.17,39,49,10,1.34,38,41,3,0.39,76,62,14,3.64,52,52,0,0.00,37,39,2,0.25
"420034886001",0,0,0,0.00,50,52,2,0.32,11,9,2,0.07,82,69,13,3.36,43,56,13,1.76,45,49,4,0.57,86,82,4,1.09
"420034886002",28,33,5,0.33,44,37,7,0.74,114,124,10,2.73,66,60,6,0.95,45,48,3,0.32,69,64,5,0.83,52,52,0,0.00
"420034886003",0,0,0,0.00,42,40,2,0.16,59,64,5,0.57,125,129,4,0.97,141,130,11,3.01,97,109,12,2.26,52,44,8,0.81
"420034886004",17,19,2,0.04,27,27,0,0.00,141,158,17,2.75,187,182,5,1.07,194,188,6,1.33,135,119,16,2.48,171,179,8,1.57
"420034890011",11,12,1,0.04,18,15,3,0.21,20,15,5,0.38,20,11,9,0.69,68,85,17,4.43,71,68,3,0.82,53,55,2,0.41
"420034890012",12,9,3,0.05,105,117,12,1.75,119,115,4,0.66,95,92,3,0.40,58,49,9,0.73,30,36,6,0.25,300,301,1,0.42
"420034890013",0,0,0,0.00,39,48,9,0.33,161,172,11,1.68,250,232,18,4.27,195,191,4,0.74,237,234,3,0.67,173,178,5,0.82
"420034890021",0,0,0,0.00,73,75,2,0.51,0,0,0,0.00,93,110,17,5.47,67,48,19,4.40,30,33,3,0.31,26,23,3,0.27
"420034890022",31,23,8,0.48,63,61,2,0.24,114,100,14,3.08,108,113,5,1.04,89,102,13,2.23,43,44,1,0.08,70,75,5,0.68
"420034890023",0,0,0,0.00,51,39,12,1.27,86,84,2,0.36,112,102,10,2.32,79,77,2,0.33,76,78,2,0.31,79,103,24,3.93
"420034890024",0,0,0,0.00,20,10,10,0.85,0,0,0,0.00,98,103,5,2.09,8,8,0,0.00,74,76,2,0.63,35,38,3,0.45
"420034900021",0,0,0,0.00,110,104,6,1.61,45,50,5,0.55,67,67,0,0.00,98,94,4,0.96,58,59,1,0.14,31,35,4,0.30
"420034900022",0,0,0,0.00,9,13,4,0.10,78,85,7,1.55,86,84,2,0.49,59,65,6,1.00,35,31,4,0.40,86,75,11,2.68
"420034900023",20,16,4,0.10,36,37,1,0.05,238,249,11,3.27,132,137,5,0.83,147,139,8,1.47,73,76,3,0.27,154,146,8,1.54
"420034900024",0,0,0,0.00,0,0,0,0.00,37,36,1,0.16,31,32,1,0.13,120,110,10,5.04,29,36,7,0.85,21,24,3,0.26
"420034900025",0,0,0,0.00,97,105,8,2.50,57,54,3,0.55,25,21,4,0.32,87,88,1,0.28,10,6,4,0.13,35,37,2,0.23
"420034900031",8,11,3,0.06,80,76,4,0.84,61,70,9,1.43,90,83,7,1.64,46,37,9,1.08,56,63,7,1.02,42,43,1,0.11
"420034900032",23,20,3,0.16,54,43,11,1.35,59,64,5,0.67,103,110,7,1.64,109,98,11,2.72,21,23,2,0.10,71,82,11,1.78
"420034900033",0,0,0,0.00,102,75,27,4.40,117,119,2,0.37,105,107,2,0.34,159,183,24,6.10,70,68,2,0.22,73,74,1,0.12
"420034900041",0,0,0,0.00,87,92,5,0.52,97,104,7,0.81,301,297,4,1.44,185,178,7,1.55,129,129,0,0.00,37,36,1,0.04
"420034900042",7,4,3,0.03,63,74,11,0.95,193,171,22,5.84,257,288,31,10.96,148,142,6,1.22,36,23,13,0.64,23,25,2,0.06
"420034900043",0,0,0,0.00,18,20,2,0.13,39,29,10,1.37,98,102,4,1.38,96,87,9,3.03,17,27,10,0.60,17,20,3,0.18
"420034911011",104,107,3,0.27,109,114,5,0.48,242,261,19,4.03,266,239,27,6.29,145,154,9,1.14,160,147,13,1.82,115,119,4,0.40
"420034911012",0,0,0,0.00,131,142,11,1.25,137,135,2,0.24,345,332,13,3.90,315,318,3,0.82,114,124,10,0.99,107,98,9,0.84
"420034912001",18,16,2,0.04,125,122,3,0.40,181,178,3,0.58,205,202,3,0.65,151,162,11,1.77,103,105,2,0.22,158,156,2,0.34
"420034927001",16,18,2,0.13,13,9,4,0.21,62,60,2,0.49,73,82,9,2.61,0,0,0,0.00,53,47,6,1.26,35,36,1,0.14
"420034927002",10,9,1,0.04,50,58,8,1.59,41,49,8,1.30,37,28,9,1.32,39,36,3,0.46,31,25,6,0.74,44,47,3,0.52
"420034927003",29,22,7,0.51,89,100,11,2.48,39,42,3,0.30,67,58,9,1.53,104,98,6,1.58,34,38,4,0.34,33,37,4,0.33
"420034928001",7,10,3,0.04,49,41,8,0.76,92,95,3,0.54,121,122,1,0.24,145,156,11,3.10,19,19,0,0.00,81,71,10,1.58
"420034928002",62,71,9,0.78,22,18,4,0.12,48,47,1,0.07,193,191,2,0.54,113,120,7,1.10,121,118,3,0.51,157,151,6,1.32
"420034929001",0,0,0,0.00,72,74,2,0.24,85,92,7,0.98,170,166,4,1.11,143,149,6,1.41,77,74,3,0.38,63,55,8,0.83
"420034929002",25,22,3,0.19,54,55,1,0.14,58,51,7,1.05,59,77,18,2.74,70,79,9,1.62,45,35,10,1.16,77,69,8,1.59
"420034940001",0,0,0,0.00,61,55,6,0.58,113,119,6,1.08,148,156,8,1.89,152,156,4,0.97,73,68,5,0.58,79,72,7,0.88
"420034950001",0,0,0,0.00,60,72,12,0.91,150,124,26,4.95,87,86,1,0.11,133,131,2,0.34,178,197,19,4.29,180,178,2,0.46
"420034950002",25,17,8,0.33,28,28,0,0.00,131,124,7,1.49,134,128,6,1.31,169,200,31,8.52,71,61,10,1.15,57,57,0,0.00
"420034961011",0,0,0,0.00,36,38,2,0.12,100,115,15,2.48,98,86,12,1.94,183,200,17,5.14,74,78,4,0.49,114,88,26,4.90
"420034961012",0,0,0,0.00,63,60,3,0.32,95,79,16,2.61,129,131,2,0.44,181,203,22,6.83,49,40,9,0.76,66,70,4,0.45
"420034961021",7,4,3,0.03,68,71,3,0.30,171,189,18,4.46,130,119,11,2.07,103,99,4,0.60,102,90,12,1.77,109,118,9,1.42
"420034961022",3,2,1,0.00,79,81,2,0.23,81,73,8,0.96,76,76,0,0.00,156,143,13,3.01,152,159,7,1.58,127,140,13,2.45
"420034961023",24,24,0,0.00,33,23,10,0.65,61,63,2,0.24,108,113,5,1.06,160,183,23,7.20,79,68,11,1.70,46,37,9,0.81
"420034962001",0,0,0,0.00,34,34,0,0.00,34,34,0,0.00,154,156,2,0.59,40,36,4,0.31,96,72,24,4.42,163,189,26,8.13
"420034962002",12,11,1,0.03,50,47,3,0.36,110,104,6,1.57,86,91,5,1.02,87,87,0,0.00,31,27,4,0.29,45,54,9,0.96
"420034962003",0,0,0,0.00,125,131,6,1.03,93,82,11,1.40,163,170,7,1.56,80,83,3,0.33,100,94,6,0.82,169,170,1,0.23
"420034962004",0,0,0,0.00,62,62,0,0.00,0,0,0,0.00,47,45,2,0.37,74,86,12,3.50,48,41,7,1.32,23,20,3,0.27
"420034962005",49,46,3,0.25,43,38,5,0.37,113,112,1,0.19,178,177,1,0.30,92,97,5,0.78,81,88,7,0.96,33,31,2,0.11
