stcotrbg,adj_acs_1,sp_1,diff_1,w_diff_1,adj_acs_2,sp_2,diff_2,w_diff_2,adj_acs_3,sp_3,diff_3,w_diff_3,adj_acs_4,sp_4,diff_4,w_diff_4,adj_acs_5,sp_5,diff_5,w_diff_5,adj_acs_6,sp_6,diff_6,w_diff_6,adj_acs_7,sp_7,diff_7,w_diff_7
"420031204001",58,66,8,2.16,55,55,0,0.00,40,45,5,0.93,25,18,7,0.81,0,2,2,0.00,37,29,8,1.38,0,0,0,0.00
"420031204002",29,31,2,0.38,7,6,1,0.05,71,68,3,1.41,0,9,9,0.00,44,37,7,2.04,0,0,0,0.00,0,0,0,0.00
"420031207001",94,102,8,2.91,11,10,1,0.04,31,19,12,1.44,4,15,11,0.17,42,48,6,0.98,76,64,12,3.53,0,0,0,0.00
"420031207002",43,41,2,0.55,12,9,3,0.23,17,37,20,2.18,66,59,7,2.96,15,7,8,0.77,3,3,0,0.00,0,0,0,0.00
"420031208001",31,27,4,0.94,0,0,0,0.00,2,11,9,0.14,38,27,11,3.17,26,32,6,1.18,20,17,3,0.45,15,18,3,0.34
"420031208002",5,5,0,0.00,15,15,0,0.00,75,81,6,2.74,33,32,1,0.20,21,23,2,0.26,15,8,7,0.64,0,0,0,0.00
"420031301001",113,119,6,2.15,83,93,10,2.63,36,39,3,0.34,22,15,7,0.49,20,10,10,0.63,41,39,2,0.26,0,0,0,0.00
"420031301002",49,64,15,3.45,46,30,16,3.46,19,21,2,0.18,38,33,5,0.89,30,31,1,0.14,31,34,3,0.44,0,0,0,0.00
"420031301003",28,33,5,0.59,16,14,2,0.14,61,57,4,1.03,21,36,15,1.33,46,29,17,3.30,37,34,3,0.47,28,34,6,0.71
"420031302001",28,29,1,0.12,24,24,0,0.00,104,109,5,2.23,31,24,7,0.93,6,5,1,0.03,0,2,2,0.00,40,40,0,0.00
"420031302002",37,40,3,0.38,17,18,1,0.06,33,26,7,0.78,0,13,13,0.00,87,63,24,7.05,99,107,8,2.68,23,29,6,0.47
"420031303001",49,42,7,1.82,75,77,2,0.80,37,40,3,0.59,0,1,1,0.00,11,14,3,0.18,16,14,2,0.17,0,0,0,0.00
"420031303002",26,22,4,0.83,7,7,0,0.00,0,1,1,0.00,14,12,2,0.22,8,13,5,0.32,55,55,0,0.00,15,15,0,0.00
"420031303003",101,104,3,1.09,32,37,5,0.57,30,37,7,0.75,50,40,10,1.79,10,11,1,0.04,45,36,9,1.45,11,14,3,0.12
"420031304001",13,15,2,0.16,27,30,3,0.49,0,13,13,0.00,79,69,10,4.82,28,16,12,2.05,17,21,4,0.41,0,0,0,0.00
"420031304002",15,21,6,0.46,56,52,4,1.14,8,17,9,0.37,49,49,0,0.00,41,33,8,1.66,28,25,3,0.43,0,0,0,0.00
"420031304003",43,44,1,0.34,0,1,1,0.00,13,17,4,0.41,31,23,8,1.97,10,12,2,0.16,29,29,0,0.00,0,0,0,0.00
"420031306001",98,92,6,2.35,8,6,2,0.06,50,59,9,1.80,34,25,9,1.22,17,22,5,0.34,21,17,4,0.34,22,29,7,0.62
"420031306002",52,51,1,0.17,30,37,7,0.67,57,60,3,0.54,14,23,9,0.40,42,41,1,0.13,120,103,17,6.48,0,0,0,0.00
"420031306003",262,248,14,4.87,123,123,0,0.00,79,96,17,1.78,105,114,9,1.25,62,48,14,1.15,112,120,8,1.19,10,4,6,0.08
"420031401001",33,28,5,0.39,0,2,2,0.00,46,62,16,1.72,55,40,15,1.93,13,22,9,0.27,75,85,10,1.76,205,188,17,8.16
"420031401002",58,52,6,0.78,7,10,3,0.05,29,29,0,0.00,0,2,2,0.00,12,16,4,0.11,74,78,4,0.66,269,262,7,4.19
"420031401004",11,9,2,0.14,11,11,0,0.00,0,0,0,0.00,0,3,3,0.00,23,29,6,0.90,27,24,3,0.53,81,77,4,2.12
"420031402001",54,53,1,0.17,0,1,1,0.00,35,30,5,0.56,0,4,4,0.00,44,48,4,0.56,95,106,11,3.32,87,73,14,3.87
"420031402002",71,77,6,0.55,56,58,2,0.14,77,84,7,0.70,86,76,10,1.11,82,85,3,0.32,135,157,22,3.83,268,238,30,10.37
"420031403001",10,13,3,0.08,24,32,8,0.53,8,8,0,0.00,24,21,3,0.20,23,22,1,0.06,91,93,2,0.51,179,170,9,4.49
"420031403002",8,9,1,0.02,19,13,6,0.24,74,74,0,0.00,18,25,7,0.26,61,73,12,1.53,120,119,1,0.25,179,166,13,4.86
"420031403003",0,0,0,0.00,0,0,0,0.00,13,14,1,0.04,0,6,6,0.00,38,35,3,0.31,92,96,4,1.01,220,212,8,4.85
"420031403004",18,18,0,0.00,23,20,3,0.23,10,15,5,0.17,10,12,2,0.07,7,19,12,0.28,109,117,8,2.91,123,99,24,9.84
"420031404001",30,39,9,0.88,25,29,4,0.33,17,19,2,0.11,23,16,7,0.53,0,1,1,0.00,45,48,3,0.44,166,154,12,6.51
"420031404002",0,0,0,0.00,0,0,0,0.00,23,25,2,0.18,9,5,4,0.14,11,4,7,0.30,52,53,1,0.21,158,166,8,5.00
"420031404003",0,0,0,0.00,15,10,5,0.19,5,2,3,0.04,24,23,1,0.06,41,40,1,0.11,79,85,6,1.22,225,229,4,2.31
"420031405001",14,19,5,0.18,91,84,7,1.59,57,66,9,1.28,43,53,10,1.08,75,67,8,1.50,89,89,0,0.00,31,22,9,0.70
"420031405002",46,47,1,0.18,37,35,2,0.29,11,10,1,0.04,29,34,5,0.58,42,44,2,0.33,87,82,5,1.73,0,0,0,0.00
"420031405003",53,47,6,0.82,0,3,3,0.00,49,59,10,1.27,32,31,1,0.08,48,49,1,0.12,77,78,1,0.20,128,120,8,2.65
"420031406001",34,35,1,0.06,16,16,0,0.00,16,22,6,0.17,31,35,4,0.22,66,54,12,1.40,131,131,0,0.00,273,274,1,0.48
"420031406002",0,1,1,0.00,28,29,1,0.08,25,37,12,0.90,37,34,3,0.33,28,28,0,0.00,33,36,3,0.30,182,168,14,7.65
"420031406003",27,23,4,0.21,40,35,5,0.39,60,72,12,1.41,24,25,1,0.05,121,121,0,0.00,140,137,3,0.82,98,97,1,0.19
